module	mc_top	ct_top
bisque4	adult_114	neuron_11
black	adult_144	neuron_34
blue	adult_98	precursors
brown	adult_79	epidermis
brown4	adult_119	neuron_14_peptidergic
cyan	adult_149	neuron_36_peptidergic
darkgreen	adult_112	neuron_10_vasopressin
darkgrey	adult_7	muscle
darkmagenta	adult_150	neuron_36_peptidergic
darkolivegreen	gastrula_3	cnidocyte
darkorange	adult_136	neuron_28_motor
darkorange2	adult_134	neuron_25
darkred	adult_1	cnidocyte_nematocytes
darkslateblue	adult_159	gland_9
darkturquoise	gastrula_120	neuronal
floralwhite	adult_171	gland_17
green	gastrula_123	gland.mucous
greenyellow	adult_135	neuron_28_motor
grey	adult_77	epidermis
grey60	gastrula_86	ectoderm.embryonic.aboral
ivory	adult_116	neuron_13
lightcyan	gastrula_18	mesendoderm.embryonic
lightcyan1	adult_178	gland_23
lightgreen	gastrula_13	mesendoderm.embryonic
lightsteelblue1	adult_176	gland_21
lightyellow	adult_146	neuron_34
magenta	adult_145	neuron_34
mediumpurple3	adult_1	cnidocyte_nematocytes
midnightblue	adult_3	cnidocyte_spirocytes
orange	gastrula_69	ectoderm.embryonic
orangered4	adult_151	gland_1
paleturquoise	adult_20	gastrodermis
pink	gastrula_101	ectoderm.embryonic.aboral
plum1	adult_120	neuron_14_peptidergic
plum2	adult_99	neuron_1
purple	gastrula_24	ectoderm.pharyngeal
red	adult_143	neuron_33
royalblue	gastrula_5	cnidocyte
saddlebrown	adult_138	neuron_29
salmon	gastrula_106	ectoderm.embryonic.aboral
sienna3	adult_164	gland_13
skyblue	adult_4	cnidocyte_spirocytes
skyblue3	adult_163	gland_13
steelblue	adult_18	gastrodermis_muscle_X1
tan	adult_77	epidermis
thistle2	adult_174	gland_19
turquoise	adult_145	neuron_34
violet	adult_154	gland_4
white	adult_153	gland_2
yellow	gastrula_83	ectoderm.embryonic.aboral
yellowgreen	gastrula_5	cnidocyte
